dataset,attack,poison_rate,defense,clean_acc,clean_acc_std,asr,det_precision,det_recall,det_f1,fit_time_sec
breast_cancer,backdoor,0.05,anomaly_iforest,0.9766081871345028,0.013399344137297759,0.17829457364341086,0.22807017543859645,0.2549019607843137,0.24074074074074073,0.19509061177571616
breast_cancer,backdoor,0.05,anomaly_lof,0.9707602339181287,0.013399344137297783,0.3488372093023256,0.1929824561403509,0.21568627450980393,0.2037037037037037,0.005309581756591797
breast_cancer,backdoor,0.05,hybrid,0.9678362573099415,0.018260228065492438,0.07751937984496124,0.05498821681068342,0.43137254901960786,0.09730915223828583,0.23906842867533365
breast_cancer,backdoor,0.05,none,0.9590643274853802,0.010128952091046105,0.5736434108527132,0.0,0.0,0.0,0.0025746822357177734
breast_cancer,backdoor,0.05,roni,0.9590643274853802,0.013399344137297835,0.5968992248062016,0.03377886888525186,0.2352941176470588,0.05785194694052204,0.05059067408243815
breast_cancer,backdoor,0.05,trimmed_loss,0.9619883040935672,0.0050644760455230645,0.12403100775193798,0.20370370370370372,0.21568627450980393,0.20952380952380953,0.015068292617797852
breast_cancer,backdoor,0.1,anomaly_iforest,0.9678362573099415,0.013399344137297759,0.3333333333333333,0.3245614035087719,0.36274509803921573,0.34259259259259256,0.19621904691060385
breast_cancer,backdoor,0.1,anomaly_lof,0.9502923976608187,0.022075539284417398,0.689922480620155,0.07894736842105263,0.08823529411764706,0.08333333333333333,0.005803426106770833
breast_cancer,backdoor,0.1,hybrid,0.9649122807017543,0.015193428136569074,0.1627906976744186,0.14324144040168382,0.5490196078431372,0.22222289742343218,0.23780179023742676
breast_cancer,backdoor,0.1,none,0.9590643274853802,0.02679868827459551,0.7286821705426356,0.0,0.0,0.0,0.0028797785441080728
breast_cancer,backdoor,0.1,roni,0.9473684210526315,0.046416689667799826,0.7054263565891473,0.10349836288922583,0.3137254901960785,0.13990410865410866,0.05733513832092285
breast_cancer,backdoor,0.1,trimmed_loss,0.9385964912280702,0.015193428136569065,0.3023255813953488,0.2702702702702703,0.29411764705882354,0.28169014084507044,0.01523152987162272
