defense,clean_acc,asr,det_f1,fit_time_sec,score
hybrid,0.8908958699756389,0.25783425044417785,0.20781190929756355,0.5096955873348095,0.633061619531461
anomaly_iforest,0.8941473309056813,0.2628645368676673,0.20075482806319284,0.21828587187661064,0.631282794038014
trimmed_loss,0.8941795073475098,0.2805576208242511,0.40132258481131083,0.029217569916336623,0.6136218865232588
anomaly_lof,0.8942048169948336,0.2935764709979857,0.14365926841934826,0.026909066571129694,0.6006283459968479
none,0.8905284323125343,0.32398559401888205,0.0,0.005462818675571018,0.5665428382936523
roni,0.8848920070564879,0.3261926952357474,0.15650582234310628,0.34178598942580046,0.5586993118207404
